County Number,County Name,ESC Region Served,ESC Region PEIMS,ESC Region Geographic,District Number,District Name,District Type,NCES District ID,District Street Address,District City,District State,District Zip,District Site Street Address,District Site City,District Site State,District Site Zip,District Phone,District Fax,District Email Address,District Web Page Address,District Superintendent,District Enrollment as of Oct 2022,School Number,School Name,Instruction Type,Charter Type,AEA,Magnet Status,Residential Facility,NCES School ID,School Street Address,School City,School State,School Zip,School Site Street Address,School Site City,School Site State,School Site Zip,School Phone,School Fax,School Email Address,School Web Page Address,School Principal,Grade Range,School Enrollment as of Oct 2022,School Status,School Status Date,Update Date
'058,DAWSON COUNTY,'17,'17,'17,'058909,SANDS CISD,INDEPENDENT,'4839120,P O BOX 218,ACKERLY,TX,79713-0218,201 FIRST ST,ACKERLY,TX,79713-0218,(432) 353-4888,(432) 353-4650,whenderson@esc17.net,sands.esc17.net/,MR EURAL WAYNE HENDERSON   ,240,'058909001,SANDS CISD,REGULAR INSTRUCTIONAL,,N,N,N,'483912004462,P O BOX 218,ACKERLY,TX,79713-0218,101 FIRST ST,ACKERLY,TX,79713-0218,(432) 353-4888,(432) 353-4650,sragle@esc17.net,sands.esc17.net,MR LENNY MORROW   ,'EE-12,240,Active,7/20/92,8/8/23 5:37
'059,DEAF SMITH COUNTY,'16,'16,'16,'059901,HEREFORD ISD,INDEPENDENT,'4823010,601 N 25 MILE AVE,HEREFORD,TX,79045-4406,601 N 25 MILE AVE,HEREFORD,TX,79045-4406,(806) 363-7600,(806) 363-7699,sheriblankenship@herefordisd.net,www.herefordisd.net,MRS SHERI BLANKENSHIP   ,3952,'059901001,HEREFORD H S,REGULAR INSTRUCTIONAL,,N,N,N,'482301002335,200 AVE F,HEREFORD,TX,79045-4408,200 AVE F,HEREFORD,TX,79045-4408,(806) 363-7620,(806) 363-7688,richardsauceda@herefordisd.net,www.herefordisd.net,MR RICHARD SAUCEDA   ,'09-12,1176,Active, ,8/8/23 5:37
'059,DEAF SMITH COUNTY,'16,'16,'16,'059902,WALCOTT ISD,INDEPENDENT,'4844370,4275 HWY 214,HEREFORD,TX,79045-4153,4275 HWY 214,HEREFORD,TX,79045-4153,(806) 289-5222,(806) 289-5224,darla.bryant@region16.net,www.walcottisd.com,MRS DARLA BRYANT   ,148,'059902101,WALCOTT EL,REGULAR INSTRUCTIONAL,,N,N,N,'484437005066,4275 HWY 214,HEREFORD,TX,79045,4275 HWY 214,HEREFORD,TX,79045,(806) 289-5222,(806) 289-5224,darla.bryant@region16.net,,MRS TONYA GRUHLKEY   ,'EE-06,148,Active,8/31/70,8/8/23 5:37
'060,DELTA COUNTY,'08,'08,'08,'060902,COOPER ISD,INDEPENDENT,'4815150,P O BOX 478,COOPER,TX,75432,759 FM 1528,COOPER,TX,75432,(903) 395-2111,(903) 395-2117,amber.norris@cooperbulldogs.net,www.cooperisd.net,MRS AMBER NORRIS   ,888,'060902001,COOPER H S,REGULAR INSTRUCTIONAL,,N,N,N,'481515001022,P O BOX 429,COOPER,TX,75432,823 FM 1528,COOPER,TX,75432-2519,(903) 395-2111,(903) 395-2382,richard.roan@cooperbulldogs.net,,MS DONNA LOWERY   ,'09-12,242,Active, ,8/8/23 5:37
'060,DELTA COUNTY,'08,'08,'08,'060914,FANNINDEL ISD,INDEPENDENT,'4819050,601 W MAIN ST,LADONIA,TX,75449-1517,601 W MAIN ST,LADONIA,TX,75449-1517,(903) 367-7251,(903) 367-7252,blane@fannindel.net,www.fannindel.net,THOMAS BRAD LANE   ,147,'060914001,FANNINDEL H S,REGULAR INSTRUCTIONAL,,N,N,N,'481905001776,601 W MAIN ST,LADONIA,TX,75449-1517,601 W MAIN ST,LADONIA,TX,75449-1517,(903) 367-7251 ext:104 ,(903) 367-7252,bwilliams@fannindel.net,,MR BRETT WILLIAMS   ,'07-12,64,Active, ,8/8/23 5:37
'061,DENTON COUNTY,'11,'11,'11,'061501,UNIVERSITY OF NORTH TEXAS,INDEPENDENT,',1155 UNION CIR #305309,DENTON,TX,76203,1155 UNION CIR #305309,DENTON,TX,76203,(940) 565-3971,(940) 369-8796,Glenisson.deoliveira@unt.edu,www.tams.unt.edu,DR GLENISSON DE OLIVEIRA   ,0,'061501001,TEXAS ACADEMY OF MATHEMATICS & SCIENCE,REGULAR INSTRUCTIONAL,,N,N,Y,',1167 UNION CIR #305309,DENTON,TX,76203-5017,1167 UNION CIR SAGE HALL 202,DENTON,TX,76203-5017,(940) 565-3971,(940) 369-8796,Eric.Gruver@unt.edu,www.tams.unt.edu,DR ERIC GRUVER   ,'11-12,0,Active,7/1/90,8/8/23 5:37
'061,DENTON COUNTY,'11,'11,'11,'061802,NORTH TEXAS COLLEGIATE ACADEMY,CHARTER,'4800187,4601 N 1-35,DENTON,TX,76207,4601 N 1-35,DENTON,TX,76207,(940) 383-6655,(940) 383-6677,lisa.stanley@ntxca.org,www.ntxca.org,DR LISA C STANLEY   ,761,'061802003,NORTH TEXAS COLLEGIATE ACADEMY-SOUTH CAMPUS,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,N,N,N,'480018711537,4601 N 1-35,DENTON,TX,76207,968 RALDON ST,LEWISVILLE,TX,75067,(972) 221-3564,(972) 221-3576,donica.hill@ntxca.org,www.ntxca.org,DR DONICA HILL   ,'PK-08,277,Active,6/29/07,8/8/23 5:37
'061,DENTON COUNTY,'10,'10,'11,'061804,LEADERSHIP PREP SCHOOL,CHARTER,'4801420,8100 TEEL PKWY,FRISCO,TX,75034,8100 TEEL PKWY,FRISCO,TX,75034,(972) 294-6921,(972) 294-3416,salton@lpsfrisco.com,www.lpsfrisco.com,MRS STACY ALTON   ,1351,'061804001,LEADERSHIP PREP SCHOOL,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,N,N,N,'480142012633,8500 TEEL PKWY,FRISCO,TX,75034,8500 TEEL PKWY,FRISCO,TX,75034,(972) 294-6921,(972) 294-3416,astewart@lpsfrisco.com,,MS ANGELA STEWART   ,'KG-04,500,Active,8/22/11,8/8/23 5:37
'061,DENTON COUNTY,'11,'11,'11,'061805,TRIVIUM ACADEMY,CHARTER,'4801456,2205 E HEBRON PKWY,CARROLLTON,TX,75010,2205 E HEBRON PKWY,CARROLLTON,TX,75010,(469) 854-9007,(469) 907-2533,sheryl.bradley@triviumacademytx.com,www.triviumacademytx.com,MRS SHERYL BRADLEY   ,621,'061805001,TRIVIUM ACADEMY,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,N,N,N,'480145613454,2205 E HEBRON PKWY,CARROLLTON,TX,75010,2205 E HEBRON PKWY,CARROLLTON,TX,75010,(469) 854-9007,(469) 907-2533,marsha.cawthon@triviumacademytx.com,www.triviumacademytx.com,SHERYL BRADLEY   ,'KG-12,621,Active,8/2/16,8/8/23 5:37
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,TX,76201,1307 N LOCUST ST,DENTON,TX,76201,(940) 369-0000,(940) 369-4982,jwilson@dentonisd.org,www.dentonisd.org,DR JAMIE WILSON   ,32521,'061901002,RYAN H S,REGULAR INSTRUCTIONAL,,N,N,N,'481674006976,5101 E MCKINNEY,DENTON,TX,76208-4658,5101 E MCKINNEY,DENTON,TX,76208-4658,(940) 369-3000,(940) 369-4960,vreeves@dentonisd.org,,MR VERNON REEVES   ,'09-12,2194,Active,7/1/95,8/8/23 5:37
'061,DENTON COUNTY,'11,'11,'11,'061902,LEWISVILLE ISD,INDEPENDENT,'4827300,P O BOX 217,LEWISVILLE,TX,75067-0217,1565A W MAIN ST,LEWISVILLE,TX,75067-2616,(469) 713-5200,(972) 350-9500,info@lisd.net,www.lisd.net/,DR LORI RAPP   ,49060,'061902001,LEWISVILLE H S,REGULAR INSTRUCTIONAL,,N,N,N,'482730003072,1098 W MAIN ST,LEWISVILLE,TX,75067-3518,1098 W MAIN ST,LEWISVILLE,TX,75067-3518,(469) 713-5190,(972) 350-9291,info@lisd.net,,JIM BAKER   ,'09-12,4240,Active, ,8/8/23 5:37
'061,DENTON COUNTY,'11,'11,'11,'061903,PILOT POINT ISD,INDEPENDENT,'4834920,829 S HARRISON ST,PILOT POINT,TX,76258-4347,829 S HARRISON ST,PILOT POINT,TX,76258-4347,(940) 686-8700 ext:102 ,(940) 686-8705,tsouthard@pilotpointisd.com,www.pilotpointisd.com,MR TODD SOUTHARD   ,1483,'061903001,PILOT POINT H S,REGULAR INSTRUCTIONAL,,N,N,N,'483492003929,1300 N WASHINGTON,PILOT POINT,TX,76258-4063,1300 N WASHINGTON,PILOT POINT,TX,76258-4063,(940) 686-8740,(940) 686-8745,webmaster@pilotpointisd.com,www.pilotpointisd.com,MR JASON CROW   ,'09-12,452,Active, ,8/8/23 5:37
'061,DENTON COUNTY,'11,'11,'11,'061905,KRUM ISD,INDEPENDENT,'4825980,1200 BOBCAT BLVD,KRUM,TX,76249-6908,1200 BOBCAT BLVD,KRUM,TX,76249-6908,(940) 435-7112,(940) 482-3929,jason.cochran@krumisd.net,www.krumisd.net,DR JASON COCHRAN   ,2298,'061905001,KRUM H S,REGULAR INSTRUCTIONAL,,N,N,N,'482598002925,1200 BOBCAT BLVD,KRUM,TX,76249-6908,700-A BOBCAT BLVD,KRUM,TX,76249-9649,(940) 482-2601,(940) 482-2997,robert.white@krumisd.net,www.krumisd.net/khs,JASON LAWSON   ,'09-12,686,Active, ,8/8/23 5:37
'061,DENTON COUNTY,'11,'11,'11,'061906,PONDER ISD,INDEPENDENT,'4835310,400 W BAILEY ST,PONDER,TX,76259,400 W BAILEY,PONDER,TX,76259-0278,(940) 479-8200,(940) 479-8209,jeremy.thompson@ponderisd.net,www.ponderisd.net,MR JEREMY R THOMPSON   ,1640,'061906001,PONDER H S,REGULAR INSTRUCTIONAL,,N,N,N,'483531003992,400 W BAILEY ST,PONDER,TX,76259-0278,300 W BAILEY,PONDER,TX,76259,(940) 479-8312,(940) 479-8219,cjones@ponderisd.net,www.ponderisd.net,MR CHRIS JONES   ,'09-12,505,Active, ,8/8/23 5:37
'061,DENTON COUNTY,'11,'11,'11,'061907,AUBREY ISD,INDEPENDENT,'4808910,415 TISDELL LN,AUBREY,TX,76227-9619,415 TISDELL LN,AUBREY,TX,76227-9619,(940) 668-0060,(940) 365-2627,dbelding@aubreyisd.net,www.aubreyisd.net,DR DAVID BRYAN BELDING   ,3538,'061907001,AUBREY H S,REGULAR INSTRUCTIONAL,,N,N,N,'480891000288,510 SPRING HILL RD,AUBREY,TX,76227-9619,510 SPRING HILL RD,AUBREY,TX,76227-9619,(940) 668-3900,(940) 668-3903,mgore@aubreyisd.net,aubreyisd.net,MR BRETT PHIPPS   ,'09-12,923,Active, ,8/8/23 5:37
'061,DENTON COUNTY,'11,'11,'11,'061908,SANGER ISD,INDEPENDENT,'4839180,601 ELM ST,SANGER,TX,76266-9635,601 ELM ST,SANGER,TX,76266-9635,(940) 458-7438 ext:7438,(940) 458-5140,tommy.hunter@sangerisd.net,www.sisd.sangerisd.net,DR TOMMY HUNTER   ,2801,'061908001,SANGER H S,REGULAR INSTRUCTIONAL,,N,N,N,'483918004468,601 ELM ST,SANGER,TX,76266-9635,100 INDIAN LN,SANGER,TX,76266-9635,(940) 458-7497,(940) 458-4637,jflaa@sangerisd.net,sisd.sangerisd.net,CARLY SPERRY   ,'09-12,827,Active, ,8/8/23 5:37
'061,DENTON COUNTY,'11,'11,'11,'061910,ARGYLE ISD,INDEPENDENT,'4808670,6701 CANYON FALLS DR,FLOWER MOUND,TX,76226,6701 CANYON FALLS DR,FLOWER MOUND,TX,76226,(940) 464-7241 ext:1101,(817) 887-5557,courtney.carpenter@argyleisd.com,www.argyleisd.com,DR COURTNEY CARPENTER   ,4966,'061910001,ARGYLE H S,REGULAR INSTRUCTIONAL,,N,N,N,'480867008769,6601 CANYON FALLS DR,FLOWER MOUND,TX,76226-0989,6601 CANYON FALLS DR,FLOWER MOUND,TX,76226-0989,(940) 262-7777 ext:2110,(817) 977-5862,john.king@argyleisd.com,www.argyleisd.com,MR JOHN KING   ,'09-12,1477,Active,1/27/00,8/8/23 5:37
'061,DENTON COUNTY,'11,'11,'11,'061911,NORTHWEST ISD,INDEPENDENT,'4833180,P O BOX 77070,FORT WORTH,TX,76177-0070,2001 TEXAN DR,JUSTIN,TX,76247,(817) 215-0000,(817) 215-0170,superintendent@nisdtx.org,www.nisdtx.org,DR MARK FOUST   ,29248,'061911001,NORTHWEST H S,REGULAR INSTRUCTIONAL,,N,N,N,'483318003732,2301 TEXAN DR,JUSTIN,TX,76247,2301 TEXAN DR,JUSTIN,TX,76247,(817) 215-0200,(817) 215-0262,northwesths@nisdtx.org,nhs.nisdtx.org,MS CARRIE JACKSON   ,'09-12,2264,Active, ,8/8/23 5:37
'061,DENTON COUNTY,'11,'11,'11,'061912,LAKE DALLAS ISD,INDEPENDENT,'4826430,P O BOX 548,LAKE DALLAS,TX,75065-0548,104 SWISHER RD,LAKE DALLAS,TX,75065-2629,(940) 497-4039,(940) 497-3737,knbrown@ldisd.net,www.ldisd.net,DR KRISTIN N BROWN   ,3900,'061912001,LAKE DALLAS H S,REGULAR INSTRUCTIONAL,,N,N,N,'482643002975,P O BOX 548,LAKE DALLAS,TX,75065-0548,3016 PARK RIDGE,CORINTH,TX,76205-2228,(940) 497-4031,(940) 497-3400,kstrickland@ldisd.net,www.ldisd.net,MS MOLLIE AVELINO   ,'09-12,1293,Active, ,8/8/23 5:37
'061,DENTON COUNTY,'11,'11,'11,'061914,LITTLE ELM ISD,INDEPENDENT,'4827720,P O BOX 6000,LITTLE ELM,TX,75068-6924,400 LOBO LN,LITTLE ELM,TX,75068,(972) 947-9340,(972) 294-1107,sadams@littleelmisd.net,www.littleelmisd.net,MICHAEL LAMB   ,8351,'061914001,LITTLE ELM H S,REGULAR INSTRUCTIONAL,,N,N,N,'482772003111,1900 WALKER LN,LITTLE ELM,TX,75068-5220,1900 WALKER LN,LITTLE ELM,TX,75068-5220,(972) 947-9443,(972) 947-9333,eapriddy@littleelmisd.net,www.littleelmisd.net,DR ELIZABETH A PRIDDY   ,'09-12,2514,Active,9/1/75,8/8/23 5:37
'062,DEWITT COUNTY,'03,'03,'03,'062901,CUERO ISD,INDEPENDENT,'4815960,960 E BROADWAY,CUERO,TX,77954-2132,960 E BROADWAY,CUERO,TX,77954-2132,(361) 275-1914,(361) 275-2981,jehernandez@cueroisd.org,www.cueroisd.org/,DR MICAH ALAN DYER   ,1937,'062901001,CUERO H S,REGULAR INSTRUCTIONAL,,N,N,N,'481596001164,920 E BROADWAY,CUERO,TX,77954-2132,920 E BROADWAY,CUERO,TX,77954-2132,(361) 275-1900 ext:2   ,(361) 275-2430,kfleener@cueroisd.org,www.cueroisd.org,MRS KATRINA BOWEN   ,'09-12,638,Active, ,8/8/23 5:37
'062,DEWITT COUNTY,'03,'03,'03,'062902,NORDHEIM ISD,INDEPENDENT,'4832880,500 N BROADWAY,NORDHEIM,TX,78141,500 N BROADWAY,NORDHEIM,TX,78141,(361) 938-5211,(361) 938-5266,kwilson@nordheimisd.org,www.nordheimisd.org,MR JOHN KEVIN WILSON   ,131,'062902001,NORDHEIM SCHOOL,REGULAR INSTRUCTIONAL,,N,N,N,'483288003624,500 N BROADWAY,NORDHEIM,TX,78141,500 N BROADWAY,NORDHEIM,TX,78141,(361) 938-5211,(361) 938-5266,LKARNEI@NORDHEIMISD.ORG,www.nordheimisd.org,LISA KARNEI   ,'EE-12,131,Active, ,8/8/23 5:37
'062,DEWITT COUNTY,'03,'03,'03,'062903,YOAKUM ISD,INDEPENDENT,'4846620,P O BOX 737,YOAKUM,TX,77995-0737,315 E GONZALES ST,YOAKUM,TX,77995,(361) 293-3162,(361) 293-6678,tkelley@yoakumisd.net,www.yoakumisd.net,TOM KELLEY   ,1546,'062903001,YOAKUM H S,REGULAR INSTRUCTIONAL,,N,N,N,'484662005299,P O BOX 737,YOAKUM,TX,77995-1698,104 POTH ST,YOAKUM,TX,77995-1627,(361) 293-3442,(361) 293-2145,mmcdonald@yoakumisd.net,www.yoakumisd.net,MRS MACI MCDONALD   ,'09-12,482,Active, ,8/8/23 5:37
'062,DEWITT COUNTY,'03,'03,'03,'062904,YORKTOWN ISD,INDEPENDENT,'4846650,P O BOX 487,YORKTOWN,TX,78164-0487,331 W MAIN,YORKTOWN,TX,78164-0487,(361) 564-2252,(361) 564-2254,gnixon@yisd.org,www.yisd.org,GERALD NIXON   ,536,'062904001,YORKTOWN H S,REGULAR INSTRUCTIONAL,,N,N,N,'484665005303,P O BOX 487,YORKTOWN,TX,78164-0487,417 W 4TH ST,YORKTOWN,TX,78164,(361) 564-2252 ext:2001,(361) 564-2254,secondary@yisd.org,www.yisd.org,DR THERESA MOLINA   ,'09-12,143,Active, ,8/8/23 5:37
'062,DEWITT COUNTY,'03,'03,'03,'062905,WESTHOFF ISD,INDEPENDENT,'4845240,P O BOX 38,WESTHOFF,TX,77994-0038,244 LYNCH ST,WESTHOFF,TX,77994-0038,(830) 236-5519,(830) 236-5583,dkennedy@westhoffisd.org,westhoffisd.org,MR M DAVID KENNEDY   ,81,'062905101,WESTHOFF EL,REGULAR INSTRUCTIONAL,,N,N,N,'484524005157,244 LYNCH AVE,WESTHOFF,TX,77994-0038,244 LYNCH AVE,WESTHOFF,TX,77994-0038,(830) 236-5519,(830) 236-5583,,,    ,'PK-08,81,Active,9/1/78,8/8/23 5:37
'062,DEWITT COUNTY,'03,'03,'03,'062906,MEYERSVILLE ISD,INDEPENDENT,'4830450,P O BOX 1,MEYERSVILLE,TX,77974-0001,1897 MEYERSVILLE RD,MEYERSVILLE,TX,77974-1897,(361) 277-5817,(361) 275-5034,dunnk@meyersvilleisd.org,www.meyersvilleisd.org/,MR KELLY CLAY DUNN   ,150,'062906101,MEYERSVILLE EL,REGULAR INSTRUCTIONAL,,N,N,N,'483045003427,P O BOX 1,MEYERSVILLE,TX,77974-0001,1897 MEYERSVILLE RD,MEYERSVILLE,TX,77974-1897,(361) 275-3639,(361) 275-5034,dunnk@meyersvilleisd.org,www.meyersvilleisd.org,MR KELLY CLAY DUNN   ,'EE-08,150,Active,9/1/78,8/8/23 5:37
'063,DICKENS COUNTY,'17,'17,'17,'063903,SPUR ISD,INDEPENDENT,'4800002,P O BOX 550,SPUR,TX,79370-0550,800 N WILLIAMS,SPUR,TX,79370-0550,(806) 271-3272 ext:2001,(806) 271-4575,CHAMILTON@ESC17.NET,www.spurbulldogs.com,MR CRAIG HAMILTON   ,225,'063903001,SPUR SCHOOL,REGULAR INSTRUCTIONAL,,N,N,N,'480000204732,P O BOX 550,SPUR,TX,79370-0550,800 N WILLIAMS,SPUR,TX,79370-0550,(806) 271-3385 ext:2001,(806) 271-4575,CHAMILTON@ESC17.NET,www.spurbulldogs.com,JOSE MOLINA   TANYA PHILLIPS   ,'EE-12,225,Active, ,8/8/23 5:37
'063,DICKENS COUNTY,'17,'17,'17,'063906,PATTON SPRINGS ISD,INDEPENDENT,'4834380,P O BOX 32,AFTON,TX,79220-0032,1261 E FM 193,AFTON,TX,79220-0032,(806) 689-2220 ext:2222,(844) 249-9600,whiteb@pattonsprings.net,www.pattonsprings.net,MR BRYAN K WHITE   ,77,'063906001,PATTON SPRINGS SCHOOL,REGULAR INSTRUCTIONAL,,N,N,N,'483438003858,P O BOX 32,AFTON,TX,79220-0032,1261 E FM 193,AFTON,TX,79220-0032,(806) 689-2220 ext:2228,(806) 689-2253,ramirezs@pattonsprings.net,www.pattonsprings.net,MRS SANDRA RAMIREZ   ,'PK-12,77,Active, ,8/8/23 5:37
'064,DIMMIT COUNTY,'20,'20,'20,'064903,CARRIZO SPRINGS CISD,INDEPENDENT,'4812990,300 N 7TH ST,CARRIZO SPRINGS,TX,78834-3102,452 HWY 85,CARRIZO SPRINGS,TX,78834-3102,(830) 876-2473 ext:1104,(830) 876-9700,jcervantes@cscisd.net,www.cscisd.net,DR JOSE CERVANTES   ,1903,'064903001,CARRIZO SPRINGS H S,REGULAR INSTRUCTIONAL,,N,N,N,'481299000785,300 N 7TH ST,CARRIZO SPRINGS,TX,78834,335 FM RD 1917,CARRIZO SPRINGS,TX,78834-9719,(830) 876-9393 ext:4014,(830) 876-3052,micgonzalez@cscisd.net,,MRS SOFIA MORONES   ,'09-12,588,Active, ,8/8/23 5:37
'065,DONLEY COUNTY,'16,'16,'16,'065901,CLARENDON ISD,INDEPENDENT,'4814160,416 S ALLEN,CLARENDON,TX,79226-0610,416 S ALLEN,CLARENDON,TX,79226-0610,(806) 310-7220,(806) 874-2579,bellar.jarod@clarendonisd.net,www.clarendonisd.net,JAROD BELLAR   ,434,'065901001,CLARENDON H S,REGULAR INSTRUCTIONAL,,N,N,N,'481416000893,P O BOX 610,CLARENDON,TX,79226-0610,420 S ALLEN,CLARENDON,TX,79226-0610,(806) 874-2181,(806) 874-3428,jeffers.larry@clarendonisd.net,www.clarendonisd.net,MRS JOHN MOFFETT   ,'09-12,131,Active, ,8/8/23 5:37
'065,DONLEY COUNTY,'16,'16,'16,'065902,HEDLEY ISD,INDEPENDENT,'4822850,P O BOX 69,HEDLEY,TX,79237-0069,301 JONES,HEDLEY,TX,79237-0069,(806) 856-5323 ext:22  ,(806) 856-5372,tracey.bell@hedleyisd.net,www.hedleyisd.net,MS TRACEY BELL   ,117,'065902001,HEDLEY SCHOOL,REGULAR INSTRUCTIONAL,,N,N,N,'482285002317,P O BOX 69,HEDLEY,TX,79237-0069,301 JONES,HEDLEY,TX,79237-0069,(806) 856-5323 ext:23  ,(806) 856-5372,tracey.bell@hedleyisd.net,www.hedleyisd.net,MS TRACEY BELL   ,'PK-12,117,Active, ,8/8/23 5:37
'066,DUVAL COUNTY,'02,'02,'02,'066005,RAMIREZ CSD,COMMON,'4836420,10492 SCHOOL ST,REALITOS,TX,78376-2644,18 MILES S OF BENAVIDES ON HWY 339,RAMIREZ,TX,78376-2644,(361) 539-4343,(361) 539-4482,ghamill@ramirezcsd.net,www.ramirezcsd.esc2.net,MS GLORIA HAMILL   ,21,'066005101,RAMIREZ EL,REGULAR INSTRUCTIONAL,,N,N,N,'483642004086,10492 SCHOOL ST,REALITOS,TX,78376-2644,18 MILES SO OF BENAVIDES TX ON HWY 339,RAMIREZ,TX,78376-2644,(361) 539-4343,(361) 539-4482,ygonzalez@ramirezcsd.net,www.ramirezcsd.com,MS YLIANA GONZALEZ   ,'EE-06,21,Active,9/1/88,8/8/23 5:37
'066,DUVAL COUNTY,'02,'02,'02,'066901,BENAVIDES ISD,INDEPENDENT,'4899130,PO DRAWER P,BENAVIDES,TX,78341-0916,106 W SCHOOL ST,BENAVIDES,TX,78341-0916,(361) 256-3003,(361) 256-3002,sbueno@benavidesisd.net,www.benavidesisd.net,DR SAMUEL BUENO   ,353,'066901001,BENAVIDES SECONDARY,REGULAR INSTRUCTIONAL,CAMPUS CHARTER,N,N,N,'489913005627,P O DRAWER P,BENAVIDES,TX,78341-0916,1025 EAGLE DR,BENAVIDES,TX,78341-0916,(361) 256-3040,(361) 256-3043,publicinformation@benavidesisd.net,www.benavidesisd.net,MR DARIN LANDRUM   ,'06-12,114,Active, ,8/8/23 5:37
'066,DUVAL COUNTY,'02,'02,'02,'066902,SAN DIEGO ISD,INDEPENDENT,'4838820,609 W LABBE AVE,SAN DIEGO,TX,78384-3499,609 W LABBE AVE,SAN DIEGO,TX,78384-3499,(361) 279-3382 ext:2222,(361) 279-3388,rpena@sdisd.us,www.sdisd.us,DR RODRIGO PENA   ,1495,'066902001,SAN DIEGO H S,REGULAR INSTRUCTIONAL,,N,N,N,'483882004430,609 W LABBE AVE,SAN DIEGO,TX,78384-3499,609 W LABBE AVE,SAN DIEGO,TX,78384-3499,(361) 279-3382 ext:3222,(361) 279-3387,VJOSLIN@SDISD.US,www.sdisd.us,MRS VICTORIA JOSLIN   ,'09-12,427,Active, ,8/8/23 5:37
'066,DUVAL COUNTY,'02,'02,'02,'066903,FREER ISD,INDEPENDENT,'4819820,P O BOX 240,FREER,TX,78357-0240,905 S NORTON,FREER,TX,78357-0240,(361) 394-6025 ext:111 ,(361) 394-5055,ccantu@freerisd.net,www.freerisd.org,CONRAD CANTU   ,734,'066903002,FREER H S,REGULAR INSTRUCTIONAL,,N,N,N,'481982005367,P O BOX 240,FREER,TX,78357-0240,905 S NORTON,FREER,TX,78357-0240,(361) 394-6025 ext:212 ,(361) 247-2128,lhinojosa@freerisd.net,www.freerisd.org,DAVID ORTIZ   ,'09-12,170,Active, ,8/8/23 5:37
'067,EASTLAND COUNTY,'14,'14,'14,'067902,CISCO ISD,INDEPENDENT,'4814070,P O BOX 1645,CISCO,TX,76437-1645,1503 LEGGETT,CISCO,TX,76437-1645,(254) 442-3056,(254) 442-1412,thanlon@cisco.esc14.net,www.ciscoisd.net,DR RYAN STEELE   ,829,'067902001,CISCO H S,REGULAR INSTRUCTIONAL,,N,N,N,'481407000887,P O BOX 1645,CISCO,TX,76437-1645,1300 PERSHING,CISCO,TX,76437-1645,(254) 442-3051,(254) 442-2516,jkent@cisco.esc14.net,,MR CRAIG KENT   ,'09-12,234,Active, ,8/8/23 5:37
'067,EASTLAND COUNTY,'14,'14,'14,'067903,EASTLAND ISD,INDEPENDENT,'4817960,P O BOX 31,EASTLAND,TX,76448-0031,209 STE B MAIN ST,EASTLAND,TX,76448,(254) 631-5120,(254) 631-5126,jwilliams@eastland.esc14.net,www.eastlandisd.net/,JEREMY WILLIAMS   ,1057,'067903001,EASTLAND H S,REGULAR INSTRUCTIONAL,,N,N,N,'481796001563,P O BOX 31,EASTLAND,TX,76448-0031,900 W PLUMMER,EASTLAND,TX,76448-2565,(254) 631-5000,(254) 631-5025,abramlett@eastland.esc14.net,,MR ADAM BRAMLETT   ,'09-12,309,Active, ,8/8/23 5:37
'067,EASTLAND COUNTY,'14,'14,'14,'067904,GORMAN ISD,INDEPENDENT,'4821270,P O BOX 8,GORMAN,TX,76454-0008,114 W LEXINGTON,GORMAN,TX,76454-0008,(254) 734-3171,(254) 734-3393,mwinter@gormanisd.net,www.gormanisd.net,MIKE WINTER   ,253,'067904001,GORMAN H S,REGULAR INSTRUCTIONAL,,N,N,N,'482127002129,P O BOX 8,GORMAN,TX,76454-0008,114 W LEXINGTON,GORMAN,TX,76454-0008,(254) 734-3171,(254) 734-3425,swells@gormanisd.net,www.gormanisd.net,MR SCOTT WELLS   ,'09-12,82,Active, ,8/8/23 5:37
'067,EASTLAND COUNTY,'14,'14,'14,'067907,RANGER ISD,INDEPENDENT,'4836480,1842 LOOP 254 E,RANGER,TX,76470-9802,1842 LOOP 254 E,RANGER,TX,76470-9802,(254) 647-1187,(254) 647-5215,ssimecek@ranger.esc14.net,www.ranger.esc14.net/,MR STEPHEN SIMECEK   ,323,'067907001,RANGER H S,REGULAR INSTRUCTIONAL,,N,N,N,'483648004090,1842 LOOP 254 E,RANGER,TX,76470-9802,1842 LOOP 254 E,RANGER,TX,76470-9802,(254) 647-3216,(254) 647-1895,ssimecek@ranger.esc14.net,www.ranger.esc14.net,STEPHEN SIMECEK   ,'09-12,97,Active, ,8/8/23 5:37
