CHARTER NAME,CDN,TYPE,RECEIVED DATE,DECISION DATE,STATUS,AMENDMENT #,ITEM #,DESCRIPTION,EFFECTIVE DATE,SUBCHAPTER E
KIPP TEXAS PUBLIC SCHOOLS,'227820,OTHER,2023-05-12,5/24/2023,Approved,114-23,2.0,"requests dormancy for CDCN #227820-017, KIPP Connect High School, and CDCN #227820-044, KIPP Austin Vista Middle, effective August 15, 2023",8/15/2023,No
LEARN4LIFE-AUSTIN,'227830,CHARTER CLOSURE,2023-06-01,6/ 2/2023,Approved,126-23,1.0,"permanently close Learn4Life-Austin and relinquish the charter held by Texas First Education, effective March 31, 2023, according to applicable closure procedures",3/31/2023,No
LEGACY PREPARATORY,'057846,OTHER,2023-02-27,4/19/2023,Approved,064-23,1.0,"change from a five-day school week to a four-day school week, effective August 7, 2023",8/ 7/2023,No
LEGACY TRADITIONAL SCHOOLS - TEXAS,'015806,NAME CHANGE - CAMPUS,2023-06-06,6/14/2023,Approved,131-23,1.0,"change the name of campus 015806-003 from Legacy Traditional School- Kelley Elementary to Legacy Traditional- Basse Elementary, effective July 1, 2023",7/ 1/2023,No
LEGACY TRADITIONAL SCHOOLS - TEXAS,'015806,ADDRESS CHANGE - CAMPUS - ,2023-06-06,6/14/2023,Approved,131-23,2.0,"relocate campus 015806-101, Legacy Traditional School- Kelley Elementary, from 802 Oblate Drive, San Antonio, Texas 78216 to 1826 Basse Road, San Antonio, Texas, 78213, effective July 1, 2023",7/ 1/2023,No
LEGACY TRADITIONAL SCHOOLS - TEXAS,'015806,NAME CHANGE - CAMPUS,2023-06-06,6/14/2023,Approved,131-23,3.0,"change the name of campus 015806-003 from Legacy Traditional School- Lee Academy to Legacy Traditional- Basse Secondary, effective July 1, 2023",7/ 1/2023,No
LEGACY TRADITIONAL SCHOOLS - TEXAS,'015806,GRADE LEVEL CHANGE,2023-06-06,6/14/2023,Approved,131-23,4.0,"change grade levels served at campus 015806-003 from grades nine (9) through twelve (12) to grades six (6) through grade twelve (12), effective July 1, 2023",7/ 1/2023,No
LIFE SCHOOL,'057807,GRADE LEVEL CHANGE,2023-04-04,4/19/2023,Approved,100-23,1.0,"add grades seven (7) and eight 8) to campus number 057807-105, Life School Mountain Creek, effective July 1, 2023",7/ 1/2023,No
LONE STAR LANGUAGE ACADEMY,'043802,NAME CHANGE - CHARTER,2023-05-01,5/ 3/2023,Approved,107-23,2.0,"change name of charter from Lone Star Language Academy to Imagine Lone Star International Academy, effective May 1, 2023",5/ 1/2023,No
LONE STAR LANGUAGE ACADEMY,'043802,NAME CHANGE - CAMPUS,2023-05-01,5/ 3/2023,Approved,107-23,3.0,"change name of campus 043-802-101, Lone Star Language Academy to Imagine Lone Star International Academy, effective May 1, 2023",5/ 1/2023,No
LONE STAR LANGUAGE ACADEMY,'043802,NAME CHANGE - CHARTER HOLDER,2023-05-01,5/ 3/2023,Approved,107-23,1.0,"change name of charter holder from Lone Star Language Academy to Imagine Lone Star International Academy, effective May 1, 2023",5/ 1/2023,No
MANARA ACADEMY,'057844,GRADE LEVEL CHANGE,2023-03-01,3/30/2023,Approved,083-23,1.0,"add Prekindergarten Three-Year Olds (Early Education) to the charter's list of grade levels served, effective July 1, 2023",7/ 1/2023,No
MERIDIAN WORLD SCHOOL,'246801,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-12,2/ 2/2023,Withdrawn,007-23,2.0,"add a campus to serve students in prekindergarten four-year olds to grade five (5), to be named Meridian World School East, location to be determined, effective August 1, 2024",8/ 1/2024,No
MERIDIAN WORLD SCHOOL,'246801,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-12,4/10/2023,Approved,007-23,1.0,"add a campus to serve students Prekindergarten four-year olds through grade five (5), to be named Meridian World School West, location to be determined, to be paired with High-Quality Campus Designation #008-23/1, effective August 1, 2024",8/ 1/2024,No
MERIDIAN WORLD SCHOOL,'246801,NEW SCHOOL OR HIGH QUALITY ,2023-01-12,4/10/2023,Approved,008-23,1.0,"establish for purposes of High-Quality Campus Designation, in accordance with 19 TAC §100.1033(b)(13), a new charter school campus under its existing open-enrollment charter, to be called Meridian World School West, location to be determined, to serve students in prekindergarten four-year olds to grade five (5), to be paired with expansion amendment #007-23.1, effective January 1, 2023",1/ 1/2023,No
MERIDIAN WORLD SCHOOL,'246801,ENROLLMENT CHANGE,2023-01-12,4/10/2023,Approved,007-23,3.0,"increase charter maximum student enrollment from 1,800 to 3,500, effective August 1, 2024",8/ 1/2024,No
MEYERPARK CHARTER,'101855,ENROLLMENT CHANGE,2023-02-28,4/24/2023,Approved,081-23,6.0,"add grade eight (8) to the charter school’s approved grade levels, effective May 1, 2024",5/ 1/2024,No
MEYERPARK CHARTER,'101855,GRADE LEVEL CHANGE,2023-02-28,4/24/2023,Approved,081-23,3.0,"add grade seven (7) to the charter school’s approved grade levels, effective May 1, 2023",5/ 1/2023,No
MEYERPARK CHARTER,'101855,GEOGRAPHIC BOUNDARY - ADD,2023-02-28,4/24/2023,Approved,081-23,4.0,"add Channelview ISD, Clear Creek ISD, Friendswood ISD, Goose Creek CISD, Humble ISD, Klein ISD, Lamar CISD, Spring Branch ISD, and Spring ISD to the charter school’s geographic area effective May 1, 2023",5/ 1/2023,No
MEYERPARK CHARTER,'101855,ENROLLMENT CHANGE,2023-02-28,4/24/2023,Approved,081-23,5.0,"increase the maximum student enrollment from 500 to 750, effective May 1, 2023",5/ 1/2023,No
MEYERPARK CHARTER,'101855,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-28,4/24/2023,Approved,081-23,2.0,"add a site under campus 101-855-101 to be located at 13663 South Main, Houston, TX 77035, to serve prekindergarten three-year-olds (Early Education), effective May 1, 2023",5/ 1/2023,No
MEYERPARK CHARTER,'101855,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-28,4/24/2023,Approved,081-23,1.0,"add a site under campus 101-855-101 to be located at 13663 South Main, Houston, TX 77035, to serve students in grade six (6) through grade eight (8), effective May 1, 2023",5/ 1/2023,No
"NEW FRONTIERS PUBLIC SCHOOLS, INC.",'015805,START DATE CHANGE - CAMPUS,2023-06-05,6/30/2023,Approved,129-23,1.0,"postpone opening the previously-approved campus (052-22-2) to be located in  Bexar County  from the 2023-2024 school year to the 2024-2025 school year, effective June 5,2023",6/ 5/2023,No
"NEW FRONTIERS PUBLIC SCHOOLS, INC.",'015805,START DATE CHANGE - CAMPUS,2023-06-05,6/30/2023,Approved,129-23,2.0,"postpone opening the previously-approved campus (052-22-1) to be located in  Bexar County  from the 2023-2024 school year to the 2024-2025 school year, effective June 5,2023",6/ 5/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,ADDITIONAL SITE/CAMPUS REQUEST,2023-03-01,4/21/2023,Withdrawn,084-23,1.0,"add a campus to be called Newman International Academy Houston Pre-K-12, to be located at 3222 Texas Parkway
Missouri City, Texas 77489, to serve Prekindergarten three-year olds through grade twelve (12), effective August 1, 2023",8/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,OTHER,2023-07-12,8/ 1/2023,Approved,154-23,1.0,"reconfigure grade levels at campus #004, Newman International Academy Fort Worth, from serving Prekindergarten four-year olds through grade six (6) to Prekindergarten three-year olds to grade six (6), effective August 1, 2023",6/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,OTHER,2023-07-12,8/ 1/2023,Approved,154-23,2.0,"reconfigure grade levels at campus #006, Newman International Academy Watauga from serving Prekindergarten four-year olds through grade six (6) to Prekindergarten three-year olds to grade six (6), effective August 1, 2023",8/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,OTHER,2023-04-04,5/24/2023,Approved,099-23,7.0,"reconfigure grade levels served at 220817-007, Newman Academy International Mansfield East, from Prekindergarten four-year olds and grades six (6) through eight (8) to Prekindergarten four-year olds through grade six (6), effective June 1, 2023",6/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,OTHER,2023-04-04,5/24/2023,Approved,099-23,6.0,"reconfigure grade levels served at 220817-005, Newman International Academy of Mansfield, from Kindergarten through grade five (5) to Kindergarten through grade six (6), effective June 1, 2023",6/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,GEOGRAPHIC BOUNDARY - ADD,2023-03-01,4/21/2023,Withdrawn,084-23,2.0,"add Alief ISD, Fort Bend ISD, Houston ISD, and Lamar CISD to the charter's geographical boundaries, effective August 1, 2023",8/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,OTHER,2023-04-04,5/24/2023,Approved,099-23,5.0,"reconfigure grade levels served at 220817-001, Newman International Academy of Arlington, from serving grade five (5) only to grades five (5) and six (6), effective June 1, 2023",6/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,OTHER,2023-06-26,6/30/2023,Approved,148-23,1.0,"reconfigure grade levels at campus #008, Newman International Academy South Oaks, from serving Prekindergarten three-year olds through grade twelve (12) to Prekindergarten three-year olds to grade six (6), effective August 1, 2023",8/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,NAME CHANGE - CAMPUS,2023-04-04,5/24/2023,Approved,099-23,3.0,"change the name of campus 220817-006 from Neman International Academy at Pioneer to Newman International Academy Watauga, effective June 1, 2023",6/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,OTHER,2023-06-26,6/30/2023,Process,148-23,2.0,"change the name of campus #008, Newman International Academy South Oaks to Newman International Academy Bethlehem, effective August 1, 2023",8/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,OTHER,2023-04-04,5/24/2023,Approved,099-23,4.0,"reconfigure grade levels served at 220817-006, Newman International Academy at Pioneer, from serving only grade six (6) to Prekindergarten four-year olds through grade six (6), effective June 1, 2023",6/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,OTHER,2023-07-12,8/ 1/2023,Approved,154-23,4.0,"reconfigure grade levels at site #2 under campus #001, Newman International Academy of Arlington, from serving grade 5 only to serving grades five (5) and six (6), effective August 1, 2023",8/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,OTHER,2023-07-12,8/ 1/2023,Approved,154-23,3.0,"reconfigure grade levels at campus #007, Newman International Academy Mansfield East, from serving Prekindergarten four-year olds through grade six (6) to Prekindergarten three-year olds to grade six (6), effective August 1, 2023",8/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,ADDRESS CHANGE - CAMPUS - ,2023-04-04,5/24/2023,Approved,099-23,2.0,"relocate campus 220817-006, Newman International Academy at Pioneer, from 1619 West Pioneer Parkway, Arlington, Texas 75013 to 7200 Denton Highway, Watauga, Texas 76148, effective June 1, 2023",6/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,OTHER,2023-06-26,6/30/2023,Approved,148-23,3.0,"relocate campus #008, Newman International Academy South Oaks, from 287 Frontage Road, Arlington, Texas 76017 to 1188 W. Broad Street, Mansfield, Texas 76063, effective August 1, 2023",8/ 1/2023,No
NEWMAN INTERNATIONAL ACADEMY OF ,'220817,OTHER,2023-04-04,5/24/2023,Approved,099-23,1.0,"reconfigure grade levels served at 220817-004, Newman International Academy Fort Worth, to serve Prekindergarten four-year olds through grade six (6), effective June 1, 2023",6/ 1/2023,No
NYOS CHARTER SCHOOL,'227804,NAME CHANGE - CAMPUS,2023-06-20,6/30/2023,Approved,139-23,2.0,"change the name of campus #227-804-102 from NYOS Magnolia McCullough to NYOS Lamar Elementary, effective July 1, 2023",7/ 1/2023,No
NYOS CHARTER SCHOOL,'227804,CAMPUS REALIGNMENT,2023-06-20,6/30/2023,Approved,139-23,4.0,"reconfigure the grade levels served at campus #227-804-102, NYOS Magnolia McCullough, from serving prekindergarten four-year-olds (PreK4) through grade eight (8) to serving prekindergarten four-year-olds (PreK4) through grade five (5), effective July 1, 2023",7/ 1/2023,No
NYOS CHARTER SCHOOL,'227804,NAME CHANGE - CAMPUS,2023-06-20,6/30/2023,Approved,139-23,1.0,"change the name of campus #227-804-101 from NYOS Charter School to NYOS Lamar Secondary, effective July 1, 2023",7/ 1/2023,No
NYOS CHARTER SCHOOL,'227804,CAMPUS REALIGNMENT,2023-06-20,6/30/2023,Approved,139-23,3.0,"reconfigure the grade levels served at campus #227-804-101, NYOS Charter School, from serving students in grades nine (9) through twelve (12) to serving students in grades six (6) through twelve (12), effective July 1, 2023",7/ 1/2023,No
"ODYSSEY ACADEMY, THE",'084802,CHARTER LANGUAGE,2023-06-20,6/30/2023,Approved,137-23,1.0,"adopt the revised charter language, effective July 1,2023",7/ 1/2023,No
"ODYSSEY ACADEMY, THE",'084802,GEOGRAPHIC BOUNDARY - ADD,2023-02-23,4/10/2023,Approved,058-23,2.0,"add Houston ISD to the charter's geographic boundaries, effective July 1, 2023",7/ 1/2023,No
"ODYSSEY ACADEMY, THE",'084802,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-23,4/10/2023,Approved,058-23,1.0,"add a campus to be called Odyssey Academy Webster or Odyssey Academy-Bay Area, to be located at 14650 Old Galveston Road, Webster, Texas 77598, to serve  prekindergarten three-year olds through grade eight (8), effective July 1, 2023",7/ 1/2023,No
ORENDA CHARTER SCHOOL,'014804,GEOGRAPHIC BOUNDARY - ADD,2023-02-28,3/20/2023,Approved,087-23,2.0,"add Academy ISD, Thorndale ISD, and Thrall ISD to the charter school’s geographic area effective April 1, 2023",4/ 1/2023,No
ORENDA CHARTER SCHOOL,'014804,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-28,3/20/2023,Approved,087-23,1.0,"add a campus to be called Gateway School of Arts and Sciences, to be located at 3320 Westinghouse Road, Georgetown, Texas 78626, to serve students in grades kindergarten through eight (8), effective August 1, 2024",8/ 1/2024,No
ORENDA CHARTER SCHOOL,'014804,CLOSE CAMPUS - RETURN SITE,2023-08-03,8/ 3/2023,Process,161-23,1.0,"close campus #01404002, New Horizons, effective July 10, 2023",7/10/2023,No
PINEYWOODS COMMUNITY ACADEMY,'003801,CLOSE CAMPUS - RETURN SITE,2023-03-16,4/26/2023,Approved,095-23,1.0,"close campus #003-801-002, Pineywoods Community Academy - Livingston, effective March 15, 2023",3/15/2023,No
PINEYWOODS COMMUNITY ACADEMY,'003801,GEOGRAPHIC BOUNDARY - ADD,2023-01-11,4/10/2023,Approved,005-23,1.0,"add Chester ISD, Cushing ISD, Douglass ISD, and Groveton ISD to the charter school’s geographic area effective March 30, 2023",3/30/2023,No
PREMIER HIGH SCHOOLS,'072801,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-27,,Process,014-23,4.0,"add a site under campus 072-801-150 to be located at 126 South Jackson Street, San Angelo, Texas 76901, to serve students in grade nine (9) through grade twelve (12), effective August 1, 2023",8/ 1/2023,No
PREMIER HIGH SCHOOLS,'072801,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-27,,Process,014-23,3.0,"add a site under campus 072-801-150 to be located at 125 South Jackson Street, San Angelo, Texas 76901, to serve students in grade nine (9) through grade twelve (12), effective August 1, 2023",8/ 1/2023,No
PREMIER HIGH SCHOOLS,'072801,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-27,,Process,014-23,1.0,"add a site under campus 072-801-142 to be located in the Amarillo, Texas area, to serve students in grade nine (9) through grade twelve (12), effective August 1, 2023",8/ 1/2023,No
PREMIER HIGH SCHOOLS,'072801,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-27,,Process,014-23,2.0,"add a site under campus 072-801-150 to be located at 112 South Jackson Street, San Angelo, Texas 76901, to serve students in grade nine (9) through grade twelve (12), effective August 1, 2023",8/ 1/2023,No
PREMIER HIGH SCHOOLS,'072801,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-27,,Process,015-23,1.0,"add a campus to be called Premier High School - Richmond to be located in the Richmond, Texas area, to serve students in grades nine (9) through twelve (12), effective August 1,2024",8/ 1/2024,No
PREMIER HIGH SCHOOLS,'072801,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-27,,Process,016-23,1.0,"add a campus to be called Premier High School - Del Rio - Heritage to be located at 709 Kings Way, Del Rio, Texas 788740, to serve students in grade nine (9) through grade twelve (12), effective August 1, 2023",8/ 1/2023,No
PRIORITY CHARTER SCHOOLS,'014803,NAME CHANGE - CAMPUS,2023-05-31,6/14/2023,Approved,125-23,3.0,"change the name of campus #014803003 from Cove Charter Academy to Priority Charter Schools Copperas Cove, effective July 1,2023",7/ 1/2023,No
PRIORITY CHARTER SCHOOLS,'014803,ADDRESS CHANGE - CAMPUS - ,2023-02-27,3/15/2023,Denied,091-23,1.0,"relocate campus #014803-004, Cedar Park Academy, from 201 Buttercup Creek Boulevard, Cedar Park, Texas 78613, to 401 S. 2nd Street, Killeen, Texas 76541, effective July 1, 2023",7/ 1/2023,No
PRIORITY CHARTER SCHOOLS,'014803,GEOGRAPHIC BOUNDARY - ADD,2023-02-24,3/23/2023,Approved,060-23,2.0,"add Austin ISD, Bremond ISD, Burnet ISD, Chilton ISD, Eanes ISD, Elgin ISD, Florence ISD, Gatesville ISD, Granger ISD, Groesbeck ISD, Holland ISD, Lago Vista ISD, Lake Travis ISD, Manor ISD, Marble Falls ISD, Marlin ISD, Mart ISD, McGregor ISD, Midway ISD, Oglesby ISD, Pflugerville ISD, Riesel ISD, Robinson ISD, Rogers ISD, Rosebud-Lott ISD, Taylor ISD, Thrall ISD, Waco ISD, and Westphalia ISD to the charter’s geographic boundaries, effective July 1, 2023",7/ 1/2023,No
PRIORITY CHARTER SCHOOLS,'014803,CLOSE CAMPUS - RETURN SITE,2023-05-31,6/14/2023,Approved,125-23,1.0,"close campus #014803004, Cedar Park Charter Academy, effective July 1,2023",7/ 1/2023,No
PRIORITY CHARTER SCHOOLS,'014803,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-24,3/23/2023,Approved,060-23,1.0,"add a campus to be called Killeen Charter Academy, to be located at 401 S. 2nd Street, Killeen, Texas to serve students in Kindergarten through grade twelve (12), effective July 1, 2023",7/ 1/2023,No
PRIORITY CHARTER SCHOOLS,'014803,NAME CHANGE - CAMPUS,2023-05-31,6/14/2023,Approved,125-23,4.0,"Change the name of campus #014803101 from Priority Charter Schools- Temple Charter Academy to Priority Charter Schools Temple effective July 1, 2023",7/ 1/2023,No
PRIORITY CHARTER SCHOOLS,'014803,CLOSE CAMPUS - RETURN SITE,2023-05-31,6/14/2023,Approved,125-23,2.0,"close campus #014803002, Georgetown Charter Academy, effective July 1,2023",7/ 1/2023,No
PROMESA ACADEMY CHARTER SCHOOL,'015839,GRADE LEVEL CHANGE,2023-03-01,3/29/2023,Denied,076-23,1.0,"add grades six (6) through eight (8) to the charter school’s approved grade levels, effective July 1, 2024",7/ 1/2024,No
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,'101806,OTHER,2023-06-22,6/30/2023,Approved,143-23,8.0,"postpone opening the previously-approved site Northeast Cluster #1 PREK 3-4/K to be located in Houston area from the 2023-2024 school year to the 2024-2025 school year, effective June 10, 2023",6/10/2023,No
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,'101806,OTHER,2023-06-22,6/30/2023,Approved,143-23,7.0,"postpone opening the previously-approved site Northeast Cluster #2 PREK 3-4/K to be located in Humble area from the 2023-2024 school year to the 2024-2025 school year, effective June 10, 2023",6/10/2023,No
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,'101806,OTHER,2023-06-22,6/30/2023,Approved,143-23,6.0,"to postpone opening the previously-approved site St Paul Early Childhood STEM Academy to be located in the Houston area from the 2023-2024 school year to the 2024-2025 school year, effective June 10, 2023",6/10/2023,No
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,'101806,START DATE CHANGE - CAMPUS,2023-06-22,6/30/2023,Approved,143-23,4.0,"postpone opening the previously-approved campus Northeast Cluster #2 1-8 to be located in Humble area  from the 2023-2024 school year to the 2024-2025 school year, effective June 10, 2023",6/10/2023,No
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,'101806,START DATE CHANGE - CAMPUS,2023-06-22,6/30/2023,Approved,143-23,2.0,"postpone opening the previously-approved campus Northeast Cluster #1 to be located in Houston area  from the 2023-2024 school year to the 2024-2025 school year, effective June 10, 2023",6/10/2023,No
RICHARD MILBURN ALTER HIGH SCHOOL ,'014801,NAME CHANGE - CAMPUS,2023-02-22,3/28/2023,Approved,054-23,1.0,"change the name of campus 014801-010 from Richard Milburn Academy Midland South to Richard Milburn Academy Midland, effective March 20, 2023",3/20/2023,No
RICHARD MILBURN ALTER HIGH SCHOOL ,'014801,ADDRESS CHANGE - CAMPUS - ,2023-01-06,1/30/2023,Approved,003-23,1.0,"relocate campus #014-801-010, Richard Milburn Academy Midland South, from 503 East Interstate 20, suite 110, Midland, Texas 79701,  to 1305 North Midland Drive, Midland, Texas 79703, effective March 20, 2023",3/20/2023,No
SAM HOUSTON STATE UNIVERSITY ,'236802,CLOSE CAMPUS - RETURN SITE,2023-04-20,,Process,104-23,1.0,"close site #5, Greengate Academy, under campus #236802-001, effective June 1, 2023",6/ 1/2023,Yes
SCHOOL OF SCIENCE AND TECHNOLOGY,'015827,OTHER,2023-02-08,2/22/2023,Approved,037-23,1.0,"request a one-year dormancy for SST Excellence (CDCN: #015-827-004) until the 2024-2025 school year, effective July 1, 2023",7/ 1/2023,No
SCHOOL OF SCIENCE AND TECHNOLOGY,'015827,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-10,5/17/2023,Approved,042-23,1.0,"add a site under campus  015-827-007, to be named School of Science and Technology- Schertz, to be located at a location to be determined in Schertz, Texas, to serve students in Pre-Kindergarten four-year-olds through grade twelve (12), effective July 1, 2023",7/ 1/2023,No
SCHOOL OF SCIENCE AND TECHNOLOGY ,'015831,OTHER,2023-02-08,5/24/2023,Approved,038-23,1.0,"temporarily relocate SST Sugar Land College Prep (015-831-009), from Belfort and Harlem Road in Richmond, Texas, to co-locate with SST Sugar Land (CDCN 015-831-005) at 10007 Clodine Road, Richmond, Texas 77407, effective July 1, 2023",7/ 1/2023,No
SCHOOL OF SCIENCE AND TECHNOLOGY ,'015831,OTHER,2023-02-08,5/24/2023,Approved,038-23,2.0,"temporarily relocate SST Hill Country College Prep (015-831-008), from Bowens Crossing and West Loop 1604 North San Antonio, Texas to co-locate with SST Hill Country (CDCN 015-831-006) at 9202 West Loop 1604 North, San Antonio, Texas 78254, effective July 1, 2023",7/ 1/2023,No
SOMERSET ACADEMIES OF TEXAS,'015830,NAME CHANGE - CAMPUS,2023-01-04,1/20/2023,Approved,002-23,3.0,"change the name of campus #015-830-101 from Brooks Collegiate Academy to Somerset Academy Collegiate, effective January 3, 2023",1/ 3/2023,No
SOMERSET ACADEMIES OF TEXAS,'015830,NAME CHANGE - CAMPUS,2023-01-04,1/20/2023,Approved,002-23,4.0,"change the name of campus #015-830-102 from Brooks Academy Lonestar to Somerset Academy Lone Star, effective January 3, 2023",1/ 3/2023,No
SOMERSET ACADEMIES OF TEXAS,'015830,ENROLLMENT CHANGE,2023-03-01,5/31/2023,Approved,078-23,2.0,"increase the maximum student enrollment from 4,350 to 5,350, effective July 1, 2023",7/ 1/2023,No
SOMERSET ACADEMIES OF TEXAS,'015830,ADDITIONAL SITE/CAMPUS REQUEST,2023-03-01,5/31/2023,Approved,078-23,1.0,"add a campus to be called Somerset Preparatory Academy to be located in the northwest San Antonio area, to serve prekindergarten four-year-olds (PreK4) through grade eight (8), effective July 1, 2023",7/ 1/2023,No
SOMERSET ACADEMIES OF TEXAS,'015830,NAME CHANGE - CAMPUS,2023-01-04,1/20/2023,Approved,002-23,2.0,"change the name of campus #015-830-001 from Brooks Academy of Science and Engineering to Somerset Academy Brooks, effective December 22, 2022",12/22/2022,No
SOMERSET ACADEMIES OF TEXAS,'015830,NAME CHANGE - CHARTER,2023-01-04,1/20/2023,Approved,002-23,1.0,"change the name of the charter school from Brooks Academies of Texas to Somerset Academies of Texas, effective 1/3/2023",1/ 3/2023,No
SOMERSET ACADEMIES OF TEXAS,'015830,NAME CHANGE - CAMPUS,2023-01-04,1/20/2023,Approved,002-23,5.0,"change the name of campus #015-830-103 from Brooks Academy Oaks to Somerset Academy Oaks, effective January 3, 2023",1/ 3/2023,No
SOMERSET ACADEMIES OF TEXAS,'015830,START DATE CHANGE - CAMPUS,2023-05-16,,Withdrawn,116-23,1.0,"postpone opening the previously-approved campus to be located in northwest San Antonio from the 2023-2024 school year to the 2024-2025 school year, effective July 1, 2024",7/ 1/2024,No
SOUTHWEST PREPARATORY SCHOOL,'015807,NAME CHANGE - CAMPUS,2023-02-21,3/16/2023,Approved,048-23,3.0,"change the name of campus 015807-001, from Southwest Preparatory School, to Northeast Elementary Campus, effective August 1, 2023",8/ 1/2023,No
SOUTHWEST PREPARATORY SCHOOL,'015807,NAME CHANGE - CAMPUS,2023-02-21,3/16/2023,Approved,048-23,1.0,"change the name of campus 015807-102, Seguin Elementary, to Seguin Campus, effective August 1, 2023",8/ 1/2023,No
SOUTHWEST PREPARATORY SCHOOL,'015807,NAME CHANGE - CAMPUS,2023-02-21,3/16/2023,Approved,048-23,2.0,"change the name of campus 015807-005, New Directions, to Northeast Campus, effective August 1, 2023",8/ 1/2023,No
SOUTHWEST PUBLIC SCHOOLS,'101838,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-21,3/16/2023,Approved,049-23,1.0,"add a site under campus 101838-004, Phoenix School at Southwest Schools, to be located at 1550 La Concha Ln., Houston, Texas 77054, to serve students in Kindergarten through grade twelve (12), effective May 1, 2023",5/ 1/2023,No
STEP CHARTER SCHOOL,'101859,ENROLLMENT CHANGE,2023-02-23,3/16/2023,Approved,056-23,2.0,"increase maximum student enrollment from 818 to 1,000, effective August 1, 2024",8/ 1/2024,No
STEP CHARTER SCHOOL,'101859,NEW SCHOOL OR HIGH QUALITY ,2023-03-08,3/15/2023,Approved,090-23,1.0,"establish for purposes of High-Quality Campus Designation, in accordance with 19 TAC §100.1033(b)(13), a new charter school campus under its existing open-enrollment charter, to be named STEP Charter III, to be located at 8320 West Airport, Houston, Texas 77071, to serve students in Kindergarten through grade eight (8), to be paired with expansion amendment #056-23/1, effective August 1, 2024",8/ 1/2024,No
STEP CHARTER SCHOOL,'101859,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-22,3/16/2023,Approved,056-23,1.0,"add a campus to be named STEP Charter III, to be located at 8320 West Airport, Houston, Texas 77071, to serve students in Kindergarten through grade eight (8), effective August 1, 2024",8/ 1/2024,No
TEXANS CAN ACADEMIES,'057804,OTHER,2023-03-24,4/26/2023,Approved,103-23,1.0,"to change to a four-day instructional week, effective August 1, 2023",8/ 1/2023,No
TEXAS COLLEGE PREPARATORY ACADEMIES,'221801,NAME CHANGE - CAMPUS,2023-06-06,6/30/2023,Approved,130-23,7.0,"to change the name of campus #221-801-065 from Fallbrook Academy to Ignite Community School - Fallbrook, effective August 1, 2023",8/ 1/2023,No
TEXAS COLLEGE PREPARATORY ACADEMIES,'221801,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-21,4/17/2023,Approved,047-23,1.0,"add a campus to be called Founders Classical Academy Plainview to be located in the Plainview area, to serve students in grades kindergarten through twelve (12), effective August 1, 2023",8/ 1/2023,No
TEXAS COLLEGE PREPARATORY ACADEMIES,'221801,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-21,4/17/2023,Approved,046-23,1.0,"add a campus to be called Texas College Preparatory Academy - Fort Worth to be located in the Fort Worth area, to serve students in grades kindergarten through twelve (12), effective August 1, 2024",8/ 1/2024,No
